Modern.az; ;adamlarnz, adamlarnz, adamlarnz, adamlarnz, adamlarnz;personal;Rusiya;sojrhgodlkrmghdj;dorujghsiojyp,  ;oejrgbiusthiontk
 ;https://modern.az/olke/321753/ilham-eliyevin-yubileyine-hesr-olunan-film-video/;0;0;1;0;0;0
 ;https://modern.az/dunya/321751/nato-rusiyanin-tekliflerini-muzakire-edecek/;0;0;1;0;0;0
 ;https://modern.az/aktual/321746/rusiya-nato-nu-parcalayir/;0;0;1;0;0;0
 ;https://modern.az/aktual/321745/rusiyada-koronavirus/;0;0;1;0;0;0
 ;https://modern.az/aktual/321734/asiq-elesger-200-idirda-anildi/;1;0;0;0;0;0
 ;https://modern.az/aktual/321726/480-min-insan-texliye-edildi/;1;0;0;0;0;0
 ;https://modern.az/media/321721/media-haqqinda-yeni-qanun-informasiya-savasina-hansi-thfeni-verecek/;1;0;0;0;0;0
 ;https://modern.az/aktual/321719/narkotikin-tesiri-altinda-avtomobil-idare-eden-saxlanildi/;1;0;0;0;0;0
 ;https://modern.az/aktual/321763/ermenistan-bmt-nin-bu-qetnamesine-emel-etmese/;0;0;1;0;0;0
 ;https://modern.az/diaspor/321759/odessada-hemreylik-gunu/;1;0;0;0;0;0

 ; ;5;0;5;0;0;0




 ; ;5;0;5;0;0;0
